“Don't cry because it's over, smile because it happened.”	Dr. Seuss	
“Be with someone who inspires you and makes you be the best version of yourself.”	Roy T. Bennett	
“Create a vision for the life you really want and then work relentlessly towards making it a reality.”	Roy T. Bennett	The Light in the Heart
“Failures are the stairs we climb to reach success.”	Roy T. Bennett	The Light in the Heart
“Let go of something old that no longer serves you to make room for something new.”	Roy T. Bennett	The Light in the Heart
“There is no more profitable investment than investing in yourself. It is the best investment you can make; you can never go wrong with it. It is the true way to improve yourself to be the best version of you and lets you be able to best serve those around you.”	Roy T. Bennett	The Light in the Heart
“Be where you are, stop over-thinking, and focus on what you are doing.”	Roy T. Bennett	The Light in the Heart
“Your Life Is Happening Right Now: Don't let procrastination take over your life. Be brave and take risks. Your life is happening right now.”	Roy T. Bennett	The Light in the Heart
“To overcome fear is the quickest way to gain your self-confidence.”	Roy T. Bennett	The Light in the Heart
“Be careful the stories you're telling yourself about your current circumstances; a head full of negative thoughts has no space for positive ones.”	Roy T. Bennett	The Light in the Heart
“Believe in your infinite potential. Your only limitations are those you set upon yourself. <br/>Believe in yourself, your abilities and your own potential. Never let self-doubt hold you captive. You are worthy of all that you dream of and hope for.”	Roy T. Bennett	The Light in the Heart
“We must assume every event has significance and contains a message that pertains to our questions...this especially applies to what we used to call bad things...the challenge is to find the silver lining in every event, no matter how negative.”	James Redfield	The Celestine Prophecy
“Instead of worrying about what could go wrong, change your thoughts to what could go right. When you change the negative thought into a positive one, it eliminates the negative one.”	Roy T. Bennett	The Light in the Heart
“There are some values that you should never compromise on to stay true to yourself; you should be brave to stand up for what you truly believe in even if you stand alone.”	Roy T. Bennett	The Light in the Heart
“Real change is difficult at the beginning. Without the familiar to rely upon, you may not in as much command as you had once been. When things are not going your way, you will start doubting yourself. Stay positive, keep the faith, and keep moving forward – your breakthrough may be just around the corner.”	Roy T. Bennett	
“So everything lets us down, including curiosity and honesty and what we love best. Yes, said the voice, but cheer up, it's fun in the end.”	Roberto Bolaño	2666
“You make the world a better place by making daily improvements to become the best version of yourself.”	Roy T. Bennett	
“What helps you persevere is your resilience and commitment.”	Roy T. Bennett	The Light in the Heart
“You have come a long way and have won many battles. Whenever you’re faced with a difficult or challenging situation, you’ll overcome it. Yes, you can.”	Roy T. Bennett	The Light in the Heart
“You attract who you are being. When you work at being the type of person that you want to attract, you attract those kinds of people into your life.”	Roy T. Bennett	The Light in the Heart
“Make the most of what you have and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.”	Roy T. Bennett	The Light in the Heart
“If you have kindness in your heart, you offer acts of kindness to touch the hearts of others wherever you go—whether they are random or planned. Kindness becomes a way of life.”	Roy T. Bennett	
“The man who is a pessimist before 48 knows too much; if he is an optimist after it he knows too little.”	Mark Twain	
“My optimism wears heavy boots and is loud.”	Henry Rollins	
“Head up, heart open. To better days!”	T.F. Hodge	From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"
“One of the things I learned the hard way was that it doesn't pay to get discouraged. Keeping busy and making optimism a way of life can restore your faith in yourself.”	Lucille Ball	
“No misfortune is so bad that whining about it won’t make it worse. (Apr 2007 Gen Conf)”	Jeffrey R. Holland	
“Every challenge you face today makes you stronger tomorrow. The challenge of life is intended to make you better, not bitter.”	Roy T. Bennett	The Light in the Heart
“Keep your mind open. The meaning of things lies in how people perceive them. The same thing could mean different meanings to the same people at different times.”	Roy T. Bennett	
“Create your own miracles; do what you think you cannot do.”	Roy T. Bennett	
“If this is the best of possible worlds, what then are the others?”	Voltaire	Candide
“One of the best ways to influence people is to make them feel important. Most people enjoy those rare moments when others make them feel important. It is one of the deepest human desires.”	Roy T. Bennett	The Light in the Heart
“The level of success you achieve will be in direct proportion to the depth of your commitment.”	Roy T. Bennett	The Light in the Heart
“But hey, what's life without a little adversity?"<br/>That had to have been the fakest attempt at optimism since my fourth grade teacher tried reasoning that we were better off without the dead kids in our class because it'd mean more turns on the playground swings for the rest of us.”	Alexandra Bracken	The Darkest Minds
“I like to see the glass as half full, hopefully of jack daniels.”	Darynda Jones	First Grave on the Right
“Integrity is doing what is right and truthful, and doing as you say you would do.”	Roy T. Bennett	The Light in the Heart
“Keep your promises and be consistent. Be the kind of person others can trust.”	Roy T. Bennett	
“Life is full of beauty. Notice it. Notice the bumble bee, the small child, and the smiling faces. Smell the rain, and feel the wind. Live your life to the fullest potential, and fight for your dreams.”	Ashley  Smith	
“In fact no one recognizes the happiest moment of their lives as they are living it. It may well be that, in a moment of joy, one might sincerely believe that they are living that golden instant "now," even having lived such a moment before, but whatever they say, in one part of their hearts they still believe in the certainty of a happier moment to come. Because how could anyone, and particularly anyone who is still young, carry on with the belief that everything could only get worse: If a person is happy enough to think he has reached the happiest moment of his life, he will be hopeful enough to believe his future will be just as beautiful, more so.”	Orhan Pamuk	The Museum of Innocence
“Life is short. Focus on what really matters most; you should change your priorities over time.”	Roy T. Bennett	
“Expect the best, prepare for the worst.”	Muhammad Ali Jinnah	
“Nobody is exempt from the trials of life, but everyone can always find something positive in everything even in the worst of times.”	Roy T. Bennett	
“When I look at the future, it's so bright it burns my eyes!”	Oprah Winfrey	
“Being challenged in life is inevitable, being defeated is optional.”	Roger Crawford	
“I am an optimist... I choose to be. There is a lot of darkness in our world, there is a lot of pain and you can choose to see that or you can choose to see the joy. If you try to respond positively to the world, you will spend your time better.”	Tom Hiddleston	
“Joy, not sorrow.<br/>Laughter, not tears.<br/>Life, not death.<br/>Love, not blame.”	Lisa Schroeder	I Heart You, You Haunt Me
“Thou hast seen nothing yet.”	Miguel de Cervantes	Don Quixote
“If you care about someone enough, you’ll always be there for them no matter what.”	Roy T. Bennett	
“I'm no optimist", she said as she opened the cabinet door. " I'm just a realist who smiles too much.”	Tiffany Reisz	The Siren
“I am an optimist. Anyone interested in the future has to be otherwise he would simply shoot himself.”	Arthur C. Clarke	
“Human spirit is the ability to face the uncertainty of the future with curiosity and optimism. It is the belief that problems can be solved, differences resolved. It is a type of confidence. And it is fragile. It can be blackened by fear, and superstition. By the year 2050, when the conflict began, the world had fallen upon fearful, superstitious times.”	Bernard Beckett	Genesis
“It takes no more time to see the good side of life than to see the bad.”	Jimmy Buffett	
“We don’t truly appreciate what we have until it’s gone… We don’t really appreciate something until we have experienced some events; we don't really appreciate our parents until we ourselves have become parents. Be grateful for what you have now, and nothing should be taken for granted.”	Roy T. Bennett	
“Another way to be prepared is to think negatively. Yes, I'm a great optimist. but, when trying to make a decision, I often think of the worst case scenario. I call it 'the eaten by wolves factor.' If I do something, what's the most terrible thing that could happen? Would I be eaten by wolves? One thing that makes it possible to be an optimist, is if you have a contingency plan for when all hell breaks loose. There are a lot of things I don't worry about, because I have a plan in place if they do.”	Randy Pausch	The Last Lecture
“Do good, live in the most positive and joyful way possible every day.”	Roy T. Bennett	The Light in the Heart
“Never let fear hold you captive. <br/>Never let self-doubt hold you captive. <br/>Never let frustration hold you captive.”	Roy T. Bennett	The Light in the Heart
“Great goals make great people. People cannot hit what they do not aim for.”	Roy T. Bennett	The Light in the Heart
“Be the kind of person who dares to face life's challenges and overcome them rather than dodging them.”	Roy T. Bennett	The Light in the Heart
“Goals are the road maps that guide you to your destination. <br/>Cultivate the habit of setting clearly-defined written goals; they are the road maps that guide you to your destination.”	Roy T. Bennett	The Light in the Heart
“A happy person is not a person in a certain set of circumstances, but rather a person with a certain set of attitudes.”	Hugh Downs	
“Until you change how you get things done, you'll never know what works best.”	Roy T. Bennett	The Light in the Heart
“People are successful because they think and act like successful people.”	Roy T. Bennett	The Light in the Heart
“We all have negative thoughts now and then, but we can choose not to dwell there and not to let them control us.”	Roy T. Bennett	The Light in the Heart
“One day everything will be well, that is our hope. Everything's fine today, that is our illusion”	Voltaire	
“Your beliefs affect your choices. Your choices shape your actions. Your actions determine your results. The future you create depends upon the choices you make and the actions you take today.”	Roy T. Bennett	
“If happy I can be I will, if suffer I must I can.”	William Faulkner	Absalom, Absalom!
“Dedicate yourself to what gives your life true meaning and purpose; make a positive difference in someone's life.”	Roy T. Bennett	
“Finding the lesson behind every adversity will be the one important thing that helps get you through it.”	Roy T. Bennett	
“Ô, Sunlight! The most precious gold to be found on Earth.”	Roman Payne	
“Focus on making choices to lead your life that aligns with your core values in the most purposeful way possible.”	Roy T. Bennett	
“God surely did not create us, and cause us to live, with the sole end of wishing always to die. I believe, in my heart, we were intended to prize life and enjoy it, so long as we retain it. Existence never was originally meant to be that useless, blank, pale, slow-trailing thing it often becomes to many, and is becoming to me, among the rest.”	Charlotte Brontë	Shirley
“Stop comparing yourself to others. Always strive to improve yourself to become better today than you were yesterday to serve those around you and the world.”	Roy T. Bennett	
“I will be the first to admit that I am a pessimist by nature. It is, after all, the wisest way to be. We pessimists have everything to gain, whereas optimists have a fifty-fifty chance of being disappointed.”	Tamar Myers	As the World Churns
“I admire those who do good and expect nothing in return.”	Roy T. Bennett	
“The only person worthy of your love is not one who overstayed in the relationship without a single change, but one, who appeared like an angel, and used a single day to make a million change.”	Michael Bassey Johnson	The Infinity Sign
“Be fanatically positive and militantly optimistic. If something is not to your liking, change your liking.”	Rick Steves	
“You don’t always win, but every time you lose, you get better.”	Ian Somerhalder	
“Remember that things are not always as they appear to be… Curiosity creates possibilities and opportunities.”	Roy T. Bennett	
“The most important thing is this: to be able at any moment to be free to choose a life that makes you happy.”	Roy T. Bennett	
“Be happy -- if you're not even happy, what's so good about surviving?”	Tom Stoppard	Rosencrantz and Guildenstern Are Dead
“Whenever I see an ambulance, I like to think there is a baby being born, rather than a death.”	Phil Lester	
“In the middle of the night, things well up from the past that are not always cause for rejoicing--the unsolved, the painful encounters, the mistakes, the reasons for shame or woe. But all, good or bad, give me food for thought, food to grow on.”	May Sarton	At Seventy: A Journal
“My own idea, for what it is worth, is that all sadness which is not either arising from the repentance of a concrete sin and hastening towards concrete amendment or restitution, or else arising from pity and hastening to active assistance, is simply bad; and I think we all sin by needlessly disobeying the apostolic injunction to 'rejoice' as much as by anything else.<br/><br/>Humility, after the first shock, is a cheerful virtue.”	C.S. Lewis	The Problem of Pain
“I know we're not saints or virgins or lunatics; we know all the lust and lavatory jokes, and most of the dirty people; we can catch buses and count our change and cross the roads and talk real sentences. But our innocence goes awfully deep, and our discreditable secret is that we don't know anything at all, and our horrid inner secret is that we don't care that we don't.”	Dylan Thomas	
“Instead of complaining about the problem and blaming others, start finding the solution.”	Roy T. Bennett	The Light in the Heart
“You have two choices, to conquer your fear or to let your fear conquer you.”	Roy T. Bennett	The Light in the Heart
“Cynicism masquerades as wisdom, but it is the farthest thing from it. Because cynics don’t learn anything. Because cynicism is a self-imposed blindness, a rejection of the world because we are afraid it will hurt us or disappoint us.”	Stephen Colbert	
“You can't make yourself feel positive, but you can choose how to act, and if you choose right, it builds your confidence.”	Julien Smith	The Flinch
“Keep a light, hopeful heart. But ­expect the worst.”	Joyce Carol Oates	
“You need to have faith in yourself. Be brave and take risks. You don't have to have it all figured out to move forward.”	Roy T. Bennett	
“i find nothing more depressing than optimism.”	Paul Fussell	
“The more you believed in yourself, the more you could trust yourself. The more you trust yourself, the less you compare yourself to others.”	Roy T. Bennett	
“It must be, I thought, one of the race's most persistent and comforting hallucinations to trust that "it can't happen here" -- that one's own time and place is beyond cataclysm.”	John Wyndham	The Day of the Triffids
“It is better to find your courage to make changes when you can choose to rather than being forced to. If you do not make change, change will make you.”	Roy T. Bennett	
“Be patient and open-minded in your interactions with others; find the positive attributes that they possess.”	Roy T. Bennett	
“It's hard not to feel happy when you make someone smile.”	Roy T. Bennett	
“forsan et haec olim meminisse iuvabit.<br/>and perhaps it will be pleasing to have remembered these things one day”	Virgil	Eclogues. Georgics. Aeneid: Books 1-6
“The value of surrounding yourself with positive people is not what you get from them, but how good a person you have become because of them.”	Roy T. Bennett	
“One word of encouragement can be enough to spark someone’s motivation to continue with a difficult challenge.”	Roy T. Bennett	
“Nothing can be more hurtful to your heart than betraying yourself.”	Roy T. Bennett	
“Everyone's time is limited. What matters most is to focus on what matters most.”	Roy T. Bennett	
“Feeling lost, crazy and desperate belongs to a good life as much as optimism, certainty and reason.”	Alain de Botton	
“It is difficult to make the right choice if you fear choosing wrongly.”	Roy T. Bennett	
“Have you noticed how nobody ever looks up? Nobody looks at chimneys, or trees against the sky, or the tops of buildings. Everybody just looks down at the pavement or their shoes. The whole world could pass them by and most people wouldn't notice.”	Julie Andrews Edwards	The Last of the Really Great Whangdoodles
“Once time is lit, it will burn whether or not you're breathing it in. Even after smoke becomes air, there is the memory of smoke. I am seeing as if by the light of a match, a glimpse of my life and having it feel right.”	David Levithan	The Realm of Possibility
“I am, and always will be, the optimist. The hoper of far-flung hopes, and the dreamer of improbable dreams.”	Eleventh Doctor	
“Most of the things worth doing in the world had been declared impossible before they were done.”	Louis D. Brandeis	
“Relax. They're not going to kill us. They're going to TRY and kill us. And that is a very different thing.”	Steve Voake	The Dreamwalker's Child
“Well, you can go on looking forward," said Gandalf. "There may be many unexpected feasts ahead of you.”	J.R.R. Tolkien	The Fellowship of the Ring
“Stay away from conflictive, negative people that pull you down, because they contaminate your energy and impede your progress. Search for people who look at the world with optimism, that inspire you, make you happy and provide peace of mind.”	Pablo	
“Sometimes a pessimist is only an optimist with extra information.”	Idries Shah	Reflections
“I wanted color. I wanted to soar with happiness even if it meant dealing with the weight of fear and guilt, too. I wanted to live.”	Heather Anastasiu	Glitch
“Just when normal life felt almost possible - when the world held some kind of order, meaning, even loveliness (the prismatic spray of light through an icicle; the stillness of a sunrise), some small thing would go awry and the veil of optimism was torn away, the barren world revealed. They learned, somehow, to wait those times out. There was no cure, no answer, no reparation.”	David Wroblewski	The Story of Edgar Sawtelle
“No man ever threw away life while it was worth keeping.”	David Hume	Essays on Suicide and the Immortality of the Soul
“People who are too optimistic seem annoying. This is an unfortunate misinterpretation of what an optimist really is.<br/><br/>An <i>optimist</i> is neither naive, nor blind to the facts, nor in denial of grim reality. An optimist believes in the <i>optimal</i> usage of all options available, no matter how limited. As such, an optimist always sees the big picture. How else to keep track of all that’s out there? An optimist is simply a proactive realist.<br/><br/>An idealist focuses only on the best aspects of all things (sometimes in detriment to reality); an optimist strives to find an effective solution. A pessimist sees limited or no choices in dark times; an optimist <i>makes</i> choices.<br/><br/>When bobbing for apples, an idealist endlessly reaches for the best apple, a pessimist settles for the first one within reach, while an optimist drains the barrel, fishes out all the apples and makes pie.<br/><br/>Annoying? Yes. But, oh-so tasty!”	Vera Nazarian	The Perpetual Calendar of Inspiration
“Nobody knows how things will turn out, that's why they go ahead and play the game...You give it your all and sometimes amazing things happen, but it's hardly ever what you expect.”	Gennifer Choldenko	Al Capone Does My Shirts
“Accepting personal responsibility for your life frees you from outside influences – increases your self-esteem – boosts confidence in your ability to decisions – and ultimately leads to achieve success in life.”	Roy T. Bennett	
“Maturity is when you stop complaining and making excuses in your life; you realize everything that happens in life is a result of the previous choice you’ve made and start making new choices to change your life.”	Roy T. Bennett	
“London is satisfied, Paris is resigned, but New York is always hopeful. Always it believes that something good is about to come off, and it must hurry to meet it.”	Dorothy Parker	
“You have to open up to the world and learn optimism...Contentment with the past, happiness with the present, and hope for the future. Learned optimisim.”	Jennifer Crusie	Agnes and the Hitman
“Too many people are too busy making a living to make a life.”	Roy T. Bennett	
“A monkey glances up and sees a banana, and that's as far as he looks. A visionary looks up and sees the moon.”	Eoin Colfer	Airman
“Discipline your mind to see the good in every situation and look on the best side of every event. <br/>Discipline your mind to think positively; to see the good in every situation and look on the best side of every event.”	Roy T. Bennett	
“The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure.<br/><br/>If you always do what is easy and choose the path of least resistance, you never step outside your comfort zone. Great things don’t come from comfort zones.”	Roy T. Bennett	The Light in the Heart
“Whatever choice you make makes you. Choose wisely.”	Roy T. Bennett	
“When you open your mind, you open new doors to new possibilities for yourself and new opportunities to help others.”	Roy T. Bennett	
“You have this ability to find beauty in weird places.”	Kamila Shamsie	Kartography
“Always something new, always something I didn't expect, and sometimes it isn't horrible.”	Robert Jordan	The Great Hunt
“Dream big. Wake up. Take the first step into the unknown.”	Roy T. Bennett	
“The beginning is always NOW.”	Roy T. Bennett	
“We can become inspired to shape a higher, more ideal future, and when we do, miracles happen.”	James Redfield	The Tenth Insight: Holding the Vision
“When you start giving, instead of getting, you make a difference. You can always give a warm smile, a sincere hello, a positive vibe… your attention, your time, your love, and kindness to those around you.”	Roy T. Bennett	
“Remember, you see in any situation what you expect to see.”	David J. Schwartz	
“Perpetual Optimism is a Force Multiplier.”	Colin Powell	
“You predicted quick victory. Now it’s going to get hopelessly complicated. Jesus, don’t you know any better than that by now?”	Jim Butcher	Proven Guilty
“If I can't joke about imminent death, then I might as well just resign.”	James A. Owen	The Search for the Red Dragon
“The closed mind is a disease. You need to have an open mind; otherwise life will just pass you by.”	Danny Wallace	
“Where There is a will<br/>there is a will<br/>to search and discover <br/>a better day<br/><br/>Where a positive heart<br/>is all you need<br/>to rise beyond<br/>and succeed<br/><br/>Where young minds grow <br/>and respect each other <br/>based on their deeds<br/>and not their color<br/><br/>when times are dim<br/>say as I say<br/>"Where there's a will<br/>there's a way!”	Tupac Shakur	The Rose That Grew from Concrete
“I'm no longer quite sure what the question is, but I do know that the answer is Yes.”	Leonard Bernstein	The Unanswered Question: Six Talks at Harvard (Charles Eliot Norton Lectures)
“I was saying yes because when you're in love, the world is full of possibilities, and when you're in love, you want to take every single one of them.”	Danny Wallace	
“The spirit of the gospel is optimistic; it trusts in God and looks on the bright side of things. The opposite or pessimistic spirit drags men down and away from God, looks on the dark side, murmurs, complains, and is slow to yield obedience.”	Orson F. Whitney	
“You may exist in<br/>this world--but I exist too<br/>and I will not yield”	Matthew Quick	Sorta Like a Rock Star
“And you? Did you find the doorknob?”<br/>Hadrian picked up a jug and downed several swallows, drinking so quickly some of the water dripped down his chin. He poured some in his palm and rinsed his face, running his fingers through his hair.<br/>“I didn’t even get close enough to see a door.”<br/>“Well, look on the bright side”—Hadrian smiled—“at least you weren’t captured and condemned to death this time.”<br/>“That’s the bright side?”<br/>“What can I say? I’m a glass-half-full kinda guy.”	Michael J. Sullivan	Theft of Swords
“The more you can have control over your ego rather than let it run amuck, the more successful you’ll be in all areas of life.”	Roy T. Bennett	
“Such is the influence which the condition of our own thoughts, exercises, even over the appearance of external objects. Men who look on nature, and their fellow-men, and cry that all is dark and gloomy, are in the right; but the sombre colours are reflections from their own jaundiced eyes and hearts. The real hues are delicate, and need a clearer vision.”	Charles Dickens	Oliver Twist
“It is difficult to write a paradiso when all the superficial indications are that you ought to write an apocalypse.”	Ezra Pound	
“The optimist lives on the peninsula of infinite possibilities; the pessimist is stranded on the island of perpetual indecision.”	William Arthur Ward	
“What a pessimist you are!" exclaimed Candide.<br/>"That is because I know what life is," said Martin.”	Voltaire	Candide
“When asked if I am pessimistic or optimistic about the future, my answer is always the same: if you look at the science about what is happening on earth and aren't pessimistic, you don't understand the data. But if you meet the people who are working to restore this earth and the lives of the poor, and you aren't optimistic, you haven't got a pulse.”	Martin Keogh	Hope Beneath Our Feet: Restoring Our Place in the Natural World
“Optimism hopes for the best without any guarantee of its arriving and is often no more than whistling in the dark. Christian hope, by contrast, is faith looking ahead to the fulfillment of the promises of God, as when the Anglican burial service inters the corpse 'in sure and certain hope of the Resurrection to eternal life, through our Lord Jesus Christ.' Optimism is a wish without warrant; Christian hope is a certainty, guaranteed by God himself. Optimism reflects ignorance as to whether good things will ever actually come. Christian hope expresses knowledge that every day of his life, and every moment beyond it, the believer can say with truth, on the basis of God's own commitment, that the best is yet to come.”	J.I. Packer	
“A word about my personal philosophy. It is anchored in optimism. It must be, for optimism brings with it hope, a future with a purpose, and therefore, a will to fight for a better world. Without this optimism, there is no reason to carry on. If we think of the struggle as aclimb up a mountain, then we must visualize a mountain with no top. We see a top, but when we finall yreach it, the overcast rises and we find ourselves merely on a bluff. The mountain continues on up. Now we see the "real" top ahead of us, and strive for it, only to find we've reached another bluff, the top still above us. And so it goes on, interminably.<br/>Knowing that the mountain has no top, that it is a perpetual quest from plateau to plateau, the question arises, "Why the struggle, the conflict, the heartbreak, the danger, the sacrifice. Why the constant climb?" Our answer is the same as that which a real mountain climber gives when he is asked why he does what he does. "Because it's there." Because life is there ahead of you and either one tests oneself in its challenges or huddles in the valleys of a dreamless day-to-day existence whose only purpose is the preservation of a illusory security and safety. The latter is what the vast majority of people choose to do, fearing the adventure into the known. Paradocically, they give up the dream of what may lie ahead on the heighs of tomorrow for a perpetual nightmare - an endless succession of days fearing the loss of a tenuous security.”	Saul D. Alinsky	Rules for Radicals: A Pragmatic Primer for Realistic Radicals
“But always, to her, red and green cabbages were to be jade and burgundy, chrysoprase and prophyry. Life has no weapons against a woman like that.”	Edna Ferber	
“Do not think that one has to be sad in order to be militant, even though the thing one is fighting is abominable.”	Michel Foucault	Anti-Oedipus: Capitalism and Schizophrenia
“In these times you have to be an optimist to open your eyes when you awake in the morning”	Carl Sandburg	
“The worst thing in life is having parents that always stand against you and never with you. They discourage you, instill fear in you, hold you back, push you down and never encourage you to fly forward. When I have kids, they'll already be born with propellers with added wings. Even if one tells me they want to go learn how to ride lions in Africa, if their heart is driving that desire, I'd say "DO IT".<br/><br/>If we throw blankets over our children's dreams, we darken their world and extinguish their desire to live. I'd rather my kid die with a wild fire in his/her heart than with a malfunctioning or drained out fuse. Always allow your kids to keep humming with dreams and ideas that fuel their passions. Never tell them something is impossible. If you have a really strong determined kid, they'll go out there killing themselves trying to do the unachievable just to prove you wrong. And if you have a weak kid, they'll give up on life and settle for bagging Cokes and potato chips at your local grocery store.”	Suzy Kassem	Rise Up and Salute the Sun: The Writings of Suzy Kassem
“I'm so alive.<br/><br/>As I stand facing the beauty of the never-ending Pacific Ocean, a late afternoon breeze blows down from the hills behind. As always, it is a beautiful day. The sun is making its final descent. The magic is about to begin. The skies are ready to burn with brilliance, as it turns from a soft blue to a bright orange. Looking towards the West, I stare in awe at the hypnotic power of the waves. A giant curl begins to take form, then breaks with a thundering clap as it crashes on the shore.”	Dave Pelzer	A Child Called "It"
“I see the glass half full and thank God for what I have.”	Ana Monnar	
